,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,suburb_count,CouncilArea_mode
0,Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,3/12/2016,2.5,3067.0,2.0,1.0,1.0,202.0,137.37442942647843,Yarra,-37.7996,144.9984,Northern Metropolitan,4019.0,56,Yarra
1,Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,4/02/2016,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019.0,56,Yarra
2,Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,4/03/2017,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019.0,56,Yarra
3,Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,4/03/2017,2.5,3067.0,3.0,2.0,1.0,94.0,137.37442942647843,Yarra,-37.7969,144.9969,Northern Metropolitan,4019.0,56,Yarra
4,Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,4/06/2016,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0,56,Yarra
5,Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,7/05/2016,2.5,3067.0,2.0,1.0,0.0,181.0,137.37442942647843,Yarra,-37.8041,144.9953,Northern Metropolitan,4019.0,56,Yarra
6,Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,7/05/2016,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019.0,56,Yarra
7,Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,8/10/2016,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019.0,56,Yarra
8,Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,8/10/2016,2.5,3067.0,1.0,1.0,1.0,0.0,137.37442942647843,Yarra,-37.8008,144.9973,Northern Metropolitan,4019.0,56,Yarra
9,Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,8/10/2016,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0,56,Yarra
10,Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,12/11/2016,2.5,3067.0,2.0,2.0,1.0,0.0,137.37442942647843,Yarra,-37.811,145.0067,Northern Metropolitan,4019.0,56,Yarra
11,Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,12/11/2016,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019.0,56,Yarra
12,Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,12/11/2016,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,56,Yarra
13,Abbotsford,45 William St,2,h,1172500.0,S,Biggin,13/08/2016,2.5,3067.0,2.0,1.0,1.0,195.0,137.37442942647843,Yarra,-37.8084,144.9973,Northern Metropolitan,4019.0,56,Yarra
14,Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,14/05/2016,2.5,3067.0,1.0,1.0,1.0,0.0,137.37442942647843,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,56,Yarra
15,Abbotsford,16 William St,2,h,1310000.0,S,Jellis,15/10/2016,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0,56,Yarra
16,Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,16/07/2016,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019.0,56,Yarra
17,Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,16/07/2016,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019.0,56,Yarra
18,Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,17/09/2016,2.5,3067.0,3.0,1.0,0.0,183.0,137.37442942647843,Yarra,-37.8022,144.9975,Northern Metropolitan,4019.0,56,Yarra
19,Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,17/09/2016,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019.0,56,Yarra
20,Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,18/03/2017,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019.0,56,Yarra
21,Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,18/03/2017,2.5,3067.0,3.0,2.0,2.0,0.0,137.37442942647843,Yarra,-37.8093,144.9959,Northern Metropolitan,4019.0,56,Yarra
22,Abbotsford,138/56 Nicholson St,3,u,1090000.0,S,Jellis,18/03/2017,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,56,Yarra
23,Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,18/06/2016,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019.0,56,Yarra
24,Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18/06/2016,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0,56,Yarra
25,Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,19/11/2016,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0,56,Yarra
26,Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,22/08/2016,2.5,3067.0,1.0,1.0,1.0,0.0,137.37442942647843,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,56,Yarra
27,Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22/08/2016,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0,56,Yarra
28,Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,22/08/2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,56,Yarra
29,Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22/08/2016,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0,56,Yarra
30,Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,24/09/2016,2.5,3067.0,4.0,3.0,1.0,0.0,137.37442942647843,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0,56,Yarra
31,Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0,56,Yarra
32,Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0,56,Yarra
33,Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,26/07/2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0,56,Yarra
34,Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,27/11/2016,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0,56,Yarra
35,Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27/11/2016,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0,56,Yarra
36,Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28/05/2016,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0,56,Yarra
37,Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30/07/2016,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0,56,Yarra
38,Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,3/09/2016,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0,67,Moonee Valley
39,Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,3/12/2016,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,67,Moonee Valley
40,Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,4/03/2017,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,67,Moonee Valley
41,Airport West,23 Hart St,2,h,603000.0,S,Nelson,4/03/2017,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464.0,67,Moonee Valley
42,Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,4/03/2017,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464.0,67,Moonee Valley
