profile_gender,profile_age,work_country,work_province,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,profile_studies_level,profile_studies_level_state,profile_career,profile_university,profile_specialization_courses,profile_open_source_contributions,profile_programming_as_hobby,work_role,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,tools_IDEs,tools_work_pc_os,tools_cellphone_os,work_on_call_duty,salary_on_call_duty_charge,work_on_call_duty_charge_type,work_contract_type,salary_monthly_GROSS,salary_monthly_NET,salary_in_usd,salary_satisfaction,salary_comparison_last_semester,salary_has_bonus,salary_inflation_adjustment_2020,salary_percentage_inflation_adjustment_2020,salary_month_last_inflation_adjustment,work_has_violence_situations,profile_has_disabilities_hiring_difficulties,company_employee_number,company_main_activity,company_recommended,company_diversity_policies
Female,26,Argentina,Ciudad Autónoma de Buenos Aires,3.0,3.0,3.0,0,University,Ongoing,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Yes, they were paid by my employer",No,Yes,Consultant,None,None,None,None,None,None,GNU/Linux,Android,No,0.0,Gross,Full-Time,53000.0,43000.0,,1,1,No,No,0.0,0,In my current job,,501-1000,Services / Software Consulting / Digital,7,2
Male,29,Argentina,Corrientes,5.0,2.0,2.0,4,University,Ongoing,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Yes, they were paid by myself, Yes, they were paid by my employer",No,Yes,Developer,"Docker, Google Cloud Platform/App Engine","HTML, Javascript, Python","Django, jQuery","Informix, MySQL, PostgreSQL",None,"IPython / Jupyter, Sublime Text, Visual Studio Code",GNU/Linux,Android,No,0.0,Gross,Full-Time,79000.0,63000.0,,2,2,Less than a salary,One,10.0,1,Never,No,201-500,Other industries,8,9
Female,22,Argentina,Ciudad Autónoma de Buenos Aires,2.0,0.0,0.0,0,Secondary,Complete,,,"Yes, they were paid by myself, Yes, they were paid by my employer",No,Yes,Infosec,"Linux, VMWare",None,None,None,None,None,Windows,iOS,No,0.0,Percentage of my salary,Full-Time,160000.0,127000.0,,3,3,One salary,No,0.0,0,In a previous job,No,2001-5000,Other industries,6,9
Male,39,Argentina,Corrientes,15.0,15.0,13.0,5,Postgraduate,Incomplete,Licenciatura en Sistemas,UNNE Universidad Nacional del Nordeste,"Yes, they were paid by myself, Yes, they were paid by my employer",Yes,Yes,SysAdmin / DevOps / SRE,"Docker, Linux, OpenStack, VMWare, Windows Server","Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL","jQuery, WordPress","Microsoft SQL Server, MySQL",PHPUnit,"Eclipse, Visual Studio Code",GNU/Linux,Android,"Yes, passive",0.0,Gross,Full-Time,130000.0,102000.0,,3,1,No,No,0.0,0,In my current job,,501-1000,Other industries,7,6
Male,32,Argentina,Ciudad Autónoma de Buenos Aires,9.0,6.0,6.0,0,University,Ongoing,Licenciatura en Ciencias dela Computación,UBA - Universidad de Buenos Aires,No,No,Yes,Developer,Amazon Web Services,"CSS, HTML, Javascript, SQL, TypeScript","Angular, Node.js","Amazon DynamoDB, MongoDB, MySQL",Jest,Vim,macOS,Android,No,0.0,Percentage of my salary,Full-Time,140000.0,106000.0,,1,1,Less than a salary,No,0.0,0,Never,,11-50,Services / Software Consulting / Digital,6,6
Male,25,Argentina,Ciudad Autónoma de Buenos Aires,1.0,0.0,0.0,0,Terciary,Incomplete,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,No,No,Yes,Developer,None,"Java, Javascript","Node.js, React.js, Spark",MySQL,"Jest, JUnit, Postman","IntelliJ, Visual Studio Code",macOS,Android,No,0.0,Gross,Full-Time,54000.0,44000.0,,2,2,No,One,15.0,5,Never,No,10001+,Software based product,8,8
Male,33,Argentina,Ciudad Autónoma de Buenos Aires,1.0,1.0,1.0,0,University,Incomplete,Ingeniería en Informática,UBA - Universidad de Buenos Aires,"Yes, they were paid by myself, Yes, they were paid by my employer",Yes,Yes,Developer,"Amazon Web Services, Docker, Linux, Serverless",Javascript,Node.js,"MongoDB, MySQL, Redis",Postman,Visual Studio Code,GNU/Linux,Android,No,0.0,Percentage of my salary,Full-Time,75000.0,62400.0,,3,3,No,Two,8.0,4,Never,,51-100,Software based product,7,7
Male,23,Argentina,Provincia de Buenos Aires,0.0,0.0,0.0,0,Terciary,Ongoing,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,"Yes, they were paid by myself",No,Yes,Developer,IBM Cloud / Watson,"Java, Javascript","Spring, Liferay",MySQL,None,"Eclipse, IntelliJ, NetBeans, Notepad++",Windows,iOS,No,0.0,Percentage of my salary,Full-Time,45000.0,37500.0,,2,2,No,No,0.0,0,Never,,11-50,Software based product,8,10
Male,40,Argentina,Entre Ríos,20.0,10.0,2.0,0,University,Incomplete,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Yes, they were paid by myself",No,Yes,Developer,"Linux, Windows Server","Javascript, PHP, TypeScript","Node.js, NestJS, Phalcon FW, Zend FW.","PostgreSQL, Redis",None,"Android Studio, Notepad++, Visual Studio Code, Xcode",Windows,iOS,"Yes, passive",1200.0,Gross,Full-Time,105000.0,75000.0,,2,2,No,No,0.0,0,Never,,51-100,Other industries,4,2
Other,35,Argentina,Ciudad Autónoma de Buenos Aires,20.0,5.0,5.0,0,University,Incomplete,Licenciatura en Ciencias dela Computación,UBA - Universidad de Buenos Aires,"Yes, they were paid by myself, Yes, they were paid by my employer",Yes,Yes,SysAdmin / DevOps / SRE,"Amazon Web Services, *BSD, Google Cloud Platform/App Engine, Linux, OpenStack","Assembler, Bash/Shell, C, C#, Python, R","Flask, Torch, WordPress","MongoDB, MySQL, SQLite",None,"Coda, Eclipse, IPython / Jupyter, Nano, Notepad++, RStudio, Vim, Visual Studio Code",GNU/Linux,I don't have a cell phone / it's not a smartphone,No,0.0,Gross,Full-Time,47000.0,39000.0,,1,1,No,No,0.0,0,In a previous job,No,10001+,Other industries,3,7
Male,25,Argentina,Córdoba,1.0,0.0,0.0,0,Terciary,Ongoing,Analista de Sistemas,Instituto Terciario Interior de Córdoba,"Yes, they were paid by myself",Yes,Yes,Developer,"Docker, Linux","HTML, Javascript, Python","Bootstrap, Django, jQuery",PostgreSQL,Python Unittest,Visual Studio Code,GNU/Linux,Android,No,0.0,Percentage of my salary,Freelance,36800.0,36800.0,,3,4,No,One,15.0,7,In a previous job,No,1-10,Software based product,8,7
Male,37,Argentina,Ciudad Autónoma de Buenos Aires,15.0,15.0,7.0,0,University,Complete,Ingeniería en Sistemas de Información,UAI - Universidad Abierta Interamericana,"Yes, they were paid by myself",No,Yes,Developer,"Docker, Linux, Solaris","Bash/Shell, Python","Bootstrap, Django","MySQL, Oracle",None,PyCharm,macOS,iOS,"Yes, passive",12.0,Percentage of my salary,Full-Time,93735.0,94621.0,,2,2,One salary,One,8.0,3,Never,No,5001-10000,Other industries,4,4
Male,34,Argentina,Tucumán,10.0,1.0,1.0,0,University,Incomplete,Licenciatura en Informática,Universidad Nacional de Tucumán,"Yes, they were paid by myself",No,Yes,Developer,"Firebase, Windows Server","CSS, HTML, Javascript, PHP, SQL","Angular, Bootstrap, Flutter, jQuery, Laravel, Vue.js, WordPress","MariaDB, Microsoft SQL Server, MySQL, SQLite",None,"Android Studio, Visual Studio Code",Windows,Android,No,0.0,Gross,Full-Time,70000.0,63000.0,,2,2,No,One,15.0,6,Never,No,11-50,Other industries,8,8
Male,45,Argentina,GBA,20.0,21.0,5.0,5,Secondary,Complete,,,"Yes, they were paid by myself, Yes, they were paid by my employer",No,Yes,Manager / Director,"Google Cloud Platform/App Engine, Linux","HTML, Javascript, PHP, SQL",WordPress,"MariaDB, MySQL",None,"NetBeans, Notepad++, Sublime Text",Windows,Android,No,0.0,Gross,Full-Time,102000.0,92000.0,,3,3,No,One,18.0,1,Never,,51-100,Software based product,9,7
Male,42,Argentina,Córdoba,10.0,0.0,0.0,3,University,Incomplete,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Yes, they were paid by myself",No,Yes,Technical Leader,"Azure, VMWare, Windows Server",".NET, C#, Delphi, HTML, Java, Javascript, PHP, SQL, TypeScript, VBA",".NET Core, Angular, Bootstrap, jQuery","MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL","Selenium, Visual Studio Coded UI","Eclipse, Notepad++, Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Percentage of my salary,Full-Time,102000.0,80000.0,My salary is dollarized,1,1,From one to three salaries,No,0.0,0,Never,,2001-5000,Services / Software Consulting / Digital,3,7
Male,31,Argentina,Ciudad Autónoma de Buenos Aires,10.0,4.0,4.0,0,Terciary,Complete,Tecnicatura en Informática,Teclab,"Yes, they were paid by myself, Yes, they were paid by my employer",No,Yes,SysAdmin / DevOps / SRE,"Azure, Linux, VMWare, Windows Server","Bash/Shell, PHP",None,"Microsoft SQL Server, MySQL, PostgreSQL, SQLite",None,"Notepad++, Vim",Windows,Android,No,0.0,Gross,Full-Time,100000.0,75000.0,,3,3,Less than a salary,Three,17.0,5,Never,,101-200,Other industries,8,4
Male,24,Argentina,Córdoba,4.0,0.0,0.0,0,Terciary,Complete,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,"Yes, they were paid by myself",No,Yes,Developer,"Azure, Docker, Kubernetes, Linux, Serverless, Windows Server",".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, jQuery","Microsoft Azure (Tables, CosmosDB, SQL, etc)","NUnit, Postman","Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Gross,Full-Time,140000.0,100000.0,,3,3,No,No,0.0,0,Never,No,5001-10000,Services / Software Consulting / Digital,8,10
Female,31,Argentina,Ciudad Autónoma de Buenos Aires,3.0,2.0,2.0,0,University,Complete,Ingeniería en Informática,UBA - Universidad de Buenos Aires,"Yes, they were paid by my employer",No,Yes,Developer,"Kubernetes, Linux","HTML, Java, Javascript",Bootstrap,Microsoft SQL Server,"Cucumber, JUnit, Postman, Selenium","IntelliJ, Visual Studio Code",GNU/Linux,Android,No,0.0,Percentage of my salary,Full-Time,88000.0,70000.0,,3,3,One salary,Two,30.0,2,In a previous job,,11-50,Services / Software Consulting / Digital,8,7
Male,22,Argentina,Córdoba,1.0,0.0,0.0,0,University,Ongoing,Licenciatura en Ciencias dela Computación,UNRC - Universidad Nacional de Río Cuarto,No,Yes,Yes,SysAdmin / DevOps / SRE,"Amazon Web Services, Docker, Kubernetes, Linux",Python,"Django, Flask","PostgreSQL, SQLite",Selenium,"IntelliJ, Nano, PyCharm, Sublime Text, Vi",GNU/Linux,Android,No,0.0,Percentage of my salary,Full-Time,125000.0,93000.0,,4,4,No,One,10.0,5,Never,,1-10,Software based product,8,8
Male,26,Argentina,Ciudad Autónoma de Buenos Aires,3.0,1.0,1.0,0,Terciary,Complete,Analista de Sistemas,UTN - Universidad Tecnológica Nacional,"Yes, they were paid by myself",No,Yes,Data Scientist / Data Engineer,"Amazon Web Services, Docker, Linux, Serverless","Python, Scala, SQL","Hadoop, Spark","Apache Hive, PostgreSQL",None,"Vim, Visual Studio Code",Windows,Android,"Yes, passive",100.0,Percentage of my salary,Full-Time,75000.0,68000.0,,3,3,Less than a salary,One,20.0,3,Never,No,201-500,Software based product,8,6
Male,37,Argentina,Córdoba,10.0,7.0,7.0,0,University,Incomplete,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Yes, they were paid by myself, Yes, they were paid by my employer",No,No,DBA,"AIX, HP-UX, Linux, OpenStack, Solaris, VMWare","Bash/Shell, C++, Java, Python, SQL",None,"MongoDB, Oracle",None,None,Windows,Android,"Yes, passive",15.0,Percentage of my salary,Full-Time,87000.0,80000.0,,2,1,One salary,No,0.0,0,Never,,5001-10000,Other industries,7,6
Male,38,Argentina,Córdoba,11.0,2.0,2.0,0,University,Ongoing,Licenciado en Artes y Tecnologías,UNQ - Universidad Nacional de Quilmes,"Yes, they were paid by my employer",No,Yes,Developer,"Linux, Windows Server","Bash/Shell, C#, CSS, HTML, Java, Javascript, PHP, SQL, VB 6.0",".NET Core, jQuery, Laravel, Slim PHP","MariaDB, Microsoft SQL Server, MySQL",None,"NetBeans, Notepad++, Vi, Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Percentage of my salary,Full-Time,36874.0,47950.0,,1,1,No,More than three,50.0,4,In a previous job,No,51-100,Software based product,5,2
